State_x,County_x,Obesity_Rate,FIPS,fast_food_density
IN,Morgan,37.8,18109,0.523286223
IA,Wright,41.8,19197,0.644329906
KS,Allen,41.3,20001,0.403258324
IN,Lawrence,39.8,18093,0.439599097
KS,Harvey,37.3,20079,0.699892104
IA,Jasper,39.2,19099,0.484548301
IA,Page,43.9,19145,0.331718981
IN,Pulaski,41.4,18131,0.484339684
KS,Franklin,34.2,20059,0.583589435
IA,Henry,40.9,19087,0.456922382
IA,O'Brien,38.8,19141,0.584838092
IA,Ringgold,41.2,19159,1.041449666
IA,Buena Vista,41.0,19021,0.455189168
IN,Shelby,39.7,18145,0.579438865
IA,Pottawattamie,42.6,19155,0.760757744
IN,Tipton,36.1,18159,0.525382519
IA,Johnson,30.9,19103,0.741511643
IN,Jay,42.1,18075,0.538793087
IN,Parke,38.3,18121,0.23709324
IA,Appanoose,43.3,19007,0.724054694
IA,Keokuk,40.1,19107,0.396628648
IN,Whitley,34.6,18183,0.610855758
IN,Harrison,36.5,18061,0.442456126
KS,Ellis,41.4,20051,1.220745683
KS,Barber,41.9,20007,0.688389182
IN,Lake,38.1,18089,0.93121326
IA,Dickinson,36.9,19059,1.082682729
KS,Cherokee,42.0,20021,0.558914661
KS,Anderson,36.4,20003,0.377405971
IA,Cass,44.9,19029,0.624171019
IA,Hancock,36.2,19081,0.571047902
IA,Jefferson,37.4,19101,0.545048237
IN,Union,40.3,18161,0.561876655
IN,Marshall,35.9,18099,0.824151993
IA,Polk,38.9,19153,0.75665462
IN,Noble,36.5,18113,0.627195179
IA,Boone,38.6,19015,0.266392648
IN,Grant,43.0,18053,0.766577244
KS,Leavenworth,40.1,20103,0.413393974
IN,Sullivan,38.1,18153,0.437360287
IA,Warren,42.1,19181,0.497464836
IN,Marion,39.3,18097,0.847665489
IN,Rush,41.5,18139,0.600636661
IN,Steuben,34.1,18151,0.602911174
IN,Knox,38.2,18083,0.794041932
IA,Harrison,40.1,19085,0.717978179
IA,Montgomery,39.8,19137,0.603925526
IN,Randolph,38.9,18135,0.413376868
KS,Geary,37.0,20061,0.682848096
IN,Tippecanoe,35.1,18157,0.724064946
IA,Cerro Gordo,38.4,19033,0.950051069
IN,Martin,39.6,18101,0.694513321
IN,Monroe,37.6,18105,0.742145061
IA,Monona,40.9,19133,0.697836697
IA,Iowa,35.7,19095,0.309827745
IA,Mills,40.7,19129,0.27089259
IA,Plymouth,37.5,19149,0.753400207
KS,Barton,41.3,20009,0.662561357
IN,Scott,39.5,18143,0.840760052
IN,Spencer,35.7,18147,0.64276886
IA,Buchanan,40.6,19019,0.375816226
IA,Floyd,42.8,19067,0.322997421
IA,Benton,41.7,19011,0.196741953
KS,Finney,43.5,20055,0.751733184
IA,Humboldt,43.4,19091,0.422252715
IN,LaPorte,39.7,18091,0.647438049
IA,Guthrie,39.8,19077,0.372543544
IA,Emmet,38.5,19063,0.549752593
IA,Scott,39.2,19163,0.860197663
IN,Starke,40.1,18149,0.390472472
KS,Labette,43.6,20099,0.510568798
IA,Marshall,40.7,19127,0.557032526
KS,Harper,42.3,20077,0.562218904
IN,LaGrange,42.1,18087,0.224332616
KS,Butler,40.1,20015,0.73143059
IA,Mitchell,44.9,19131,0.281769514
IA,Fayette,39.7,19065,0.519264698
IN,Vermillion,40.8,18165,0.456650794
IA,Union,38.1,19175,0.575799942
KS,Grant,40.8,20067,0.70651406
IA,Adams,38.6,19003,0.836120427
IA,Lee,40.9,19111,0.597371578
IA,Linn,37.3,19113,0.737314224
IA,Dallas,32.2,19049,0.721924841
IN,Jackson,43.2,18071,0.88191396
IA,Black Hawk,39.1,19013,0.764607847
IA,Cherokee,40.2,19035,0.893655062
IN,Greene,40.5,18055,0.403689086
IA,Jackson,41.8,19097,0.416558176
IA,Bremer,39.5,19017,0.355576634
IA,Shelby,35.0,19165,0.524934411
IN,Vigo,41.0,18167,0.834834158
IA,Madison,38.2,19121,0.242116094
KS,McPherson,35.3,20113,0.808492661
IA,Clinton,40.9,19045,0.668218672
KS,Crawford,42.6,20037,0.645494461
IN,Gibson,40.2,18051,0.620842576
IA,Hamilton,35.4,19079,0.203859746
KS,Brown,41.2,20013,0.421851933
KS,Cowley,41.8,20035,0.664202392
IA,Franklin,41.0,19069,0.401163369
KS,Marshall,41.5,20117,0.621632814
IA,Lucas,41.1,19117,0.469593793
IA,Delaware,40.6,19055,0.354254007
IN,Henry,44.4,18065,0.6037516
IN,Orange,41.7,18117,0.610655963
IN,Miami,42.1,18103,0.481204718
IA,Chickasaw,37.7,19037,0.338009119
IA,Washington,40.7,19183,0.272826493
KS,Linn,38.6,20107,0.310752034
IA,Story,35.5,19169,0.773639262
IA,Sac,41.1,19161,0.41653651
IN,Wabash,36.9,18169,0.779625773
KS,Cloud,41.5,20029,1.041425586
KS,Dickinson,38.7,20041,0.547465265
IN,Montgomery,42.6,18107,0.808028162
KS,Clay,40.1,20027,0.747663558
IA,Mahaska,42.4,19123,0.536432743
IA,Clarke,42.5,19039,0.53458786
IN,Ripley,37.4,18137,0.527277827
IA,Palo Alto,41.6,19147,0.678349376
IA,Kossuth,37.6,19109,0.476839244
IN,Perry,40.6,18123,0.5742926
KS,Lyon,39.1,20111,0.938114703
KS,Kingman,40.7,20095,1.003728151
KS,Douglas,37.7,20045,0.889578044
IA,Webster,38.7,19187,0.584404767
IA,Dubuque,41.5,19061,0.748027444
IA,Clayton,40.6,19043,0.635067284
IA,Fremont,36.3,19071,0.891662955
IA,Allamakee,38.3,19005,0.219909102
IA,Marion,38.3,19125,0.633140385
KS,Coffey,39.5,20031,0.367737204
IA,Des Moines,36.6,19057,0.981709182
IA,Sioux,34.0,19167,0.599263787
IN,Washington,41.7,18175,0.425335824
IN,Kosciusko,39.5,18085,0.670988023
IA,Winneshiek,36.5,19191,0.45312658
IA,Muscatine,37.8,19139,0.896353245
IA,Decatur,38.1,19053,0.386150092
IN,Huntington,39.0,18069,0.796812773
IA,Tama,41.3,19171,0.357121587
IN,Johnson,42.1,18081,0.765844584
IA,Poweshiek,42.3,19157,0.544040024
IA,Hardin,39.2,19083,0.42232278
IN,Owen,39.9,18119,0.480007678
IN,Hancock,35.8,18059,0.502809465
IA,Crawford,44.5,19047,0.534632266
IN,Jasper,38.0,18073,0.717703342
IN,Howard,41.9,18067,0.979064941
IN,Wells,40.7,18179,0.568545222
IA,Adair,41.9,19001,0.566652477
IN,Putnam,39.4,18133,0.50708586
IA,Wapello,42.0,19179,0.800342977
IN,White,39.3,18181,0.66211462
KS,Gove,40.2,20063,1.526135087
IA,Jones,39.4,19105,0.291021973
IN,Jefferson,38.4,18077,0.622858942
KS,Bourbon,42.5,20011,0.90058887
IN,Hendricks,38.9,18063,0.77921629
IA,Monroe,37.5,19135,0.386100382
IN,Posey,36.4,18129,0.395647883
KS,Johnson,31.6,20091,0.726260662
LA,Jefferson,39.7,22051,0.895116389
LA,Terrebonne,40.5,22109,0.810129344
KY,Casey,41.4,21045,0.248972982
LA,Morehouse,44.7,22067,0.495315135
KS,Russell,37.0,20167,0.734861851
KY,Marshall,38.5,21157,0.673876047
KY,Shelby,36.1,21211,0.64501822
KY,McLean,39.8,21149,0.661157012
LA,St. James,43.9,22093,0.578954995
LA,Pointe Coupee,42.3,22077,0.464489758
KY,Lyon,38.3,21143,0.491823435
KY,Monroe,39.4,21171,0.568774283
KY,Spencer,36.9,21215,0.45953536
LA,Jackson,40.6,22049,0.706305385
KY,Butler,42.8,21031,0.472329378
LA,St. Mary,44.6,22101,0.724187851
KS,Trego,36.2,20195,1.087744713
KY,Harrison,40.0,21097,0.68710357
KY,Garrard,39.5,21079,0.225746378
LA,Madison,47.4,22065,0.658204019
LA,Livingston,37.2,22063,0.570486367
LA,Iberville,45.7,22047,0.561272204
KY,Hardin,38.9,21093,0.70973599
LA,Washington,43.3,22117,0.589867413
LA,East Baton Rouge,37.9,22033,1.032454133
LA,Caddo,45.9,22017,0.922186792
KY,Taylor,38.2,21217,0.894697964
KY,Wayne,42.1,21231,0.494829029
KY,Rowan,41.5,21205,0.891337812
KY,Carroll,40.4,21041,1.118359685
LA,Ouachita,42.1,22073,0.76752013
LA,St. Charles,37.3,22089,0.547304034
KY,Washington,37.4,21229,0.576273978
KY,Green,42.0,21087,0.545702577
KY,Clark,40.0,21049,0.767901719
ME,Aroostook,41.7,23003,0.583797395
KY,Whitley,41.4,21235,0.823022664
KY,Livingston,41.1,21139,0.33182171
KS,Mitchell,40.1,20123,0.510290861
KY,Mercer,38.4,21167,0.411165416
KS,Shawnee,40.0,20177,0.755686104
KY,Breckinridge,40.1,21027,0.389540821
KY,Graves,40.5,21083,0.461730689
KS,Miami,35.4,20121,0.466010362
KS,Thomas,34.3,20193,1.168527603
KY,Metcalfe,41.7,21169,0.298270047
LA,Union,43.9,22111,0.315741986
LA,LaSalle,39.9,22059,0.79888159
LA,Bienville,46.6,22013,0.462142795
KS,Stevens,40.3,20189,0.556792855
KY,Magoffin,44.8,21153,0.499292672
LA,West Carroll,41.0,22123,0.845387936
KS,Sumner,39.8,20191,0.354327232
LA,Concordia,42.0,22029,0.581579804
KS,Rice,36.9,20159,0.747703493
LA,Sabine,46.4,22085,0.294080585
KS,Sedgwick,33.5,20173,0.905931234
KY,Grant,37.8,21081,0.748414516
KY,Calloway,40.6,21035,0.6361323
KY,Lawrence,39.7,21127,0.583052576
KY,Mason,40.0,21161,0.997945428
KY,Cumberland,42.8,21057,0.459911078
LA,Avoyelles,45.8,22009,0.375319034
LA,St. Landry,48.4,22097,0.466601193
LA,Tangipahoa,42.3,22105,0.716557622
ME,Kennebec,33.6,23011,0.707575917
KY,Letcher,40.6,21133,0.659972668
KY,Pendleton,39.9,21191,0.274235576
KS,Morris,40.4,20127,0.719553888
KY,Fayette,34.9,21067,0.926909626
KY,Todd,39.6,21219,0.401670963
LA,Plaquemines,39.8,22075,0.605719745
LA,West Baton Rouge,40.6,22121,0.895789802
LA,Vermilion,39.1,22113,0.387348861
KY,McCracken,41.6,21145,1.142526388
KY,Morgan,38.7,21175,0.532643437
KY,Leslie,43.7,21131,0.311300188
KY,Greenup,43.8,21089,0.516277075
LA,Lafayette,34.7,22055,1.030350685
KY,Perry,41.0,21193,0.864236355
KY,Hart,38.2,21099,0.315573543
KY,Elliott,42.2,21063,0.406945199
LA,Red River,46.4,22081,0.482741982
KY,Warren,36.3,21227,0.825217485
KY,Bullitt,38.1,21029,0.571901381
LA,Orleans,38.1,22071,1.009048104
KY,Simpson,41.0,21213,1.073249221
KY,Scott,36.4,21209,0.667008698
KY,Boone,38.5,21015,0.967532277
LA,Evangeline,46.3,22039,0.300516903
LA,Caldwell,39.1,22021,0.508181751
LA,East Feliciana,40.3,22037,0.370723426
KS,Montgomery,45.1,20125,0.79360038
KY,Madison,35.9,21151,0.710762203
KY,Breathitt,43.1,21025,0.557768941
LA,Ascension,36.8,22005,0.847161233
KY,Powell,39.7,21197,0.654771626
KY,Lewis,46.3,21135,0.301613629
KY,Jackson,41.9,21109,0.374812603
KY,Logan,40.2,21141,0.474175662
KY,Barren,40.7,21009,0.744920969
KY,Harlan,44.7,21095,0.860517859
KY,Jessamine,36.7,21113,0.702961683
KY,Christian,41.8,21047,0.685525596
KY,Edmonson,42.7,21061,0.245198205
ME,Franklin,33.4,23007,0.666977942
KY,Crittenden,41.0,21055,0.452130675
LA,Allen,40.9,22003,0.471698105
KY,Knott,42.5,21119,0.344542444
KY,Owen,38.8,21187,0.544612885
KS,Wyandotte,41.5,20209,0.665597677
KS,Phillips,37.6,20147,0.965064645
KY,Webster,38.2,21233,0.619051278
KY,Russell,40.0,21207,0.500055552
KY,Hopkins,40.7,21107,0.649321556
ME,Hancock,28.3,23009,0.889485896
KY,Johnson,42.4,21115,0.772657037
LA,Richland,43.3,22083,0.399720192
KS,Scott,41.2,20171,1.043841362
KY,Allen,41.8,21003,0.422475696
KY,Montgomery,42.3,21173,0.674093544
KY,Woodford,35.1,21239,0.709882319
KY,Daviess,35.6,21059,0.725646734
LA,De Soto,40.0,22031,0.433996379
LA,West Feliciana,40.4,22125,0.387972832
LA,Bossier,44.7,22015,0.872127295
LA,Acadia,36.8,22001,0.549113333
KY,Martin,43.3,21159,0.906536102
KS,Pawnee,41.5,20145,0.628338039
KY,Jefferson,37.2,21111,0.896472991
KS,Seward,45.5,20175,0.665462494
KY,Union,38.9,21225,0.623139262
LA,Winn,43.6,22127,0.505816877
KY,Bath,38.4,21011,0.640974283
KS,Wilson,40.5,20205,0.358765841
KY,McCreary,43.2,21147,0.292894393
KY,Lee,43.3,21129,0.550357759
LA,Iberia,43.4,22045,0.623269677
KS,Riley,35.2,20161,0.683041453
KY,Franklin,37.6,21073,0.821628392
LA,Lincoln,42.0,22061,0.859254181
LA,St. Martin,40.9,22099,0.490992188
LA,St. Tammany,35.1,22103,0.732597947
KY,Bourbon,40.5,21017,0.703482211
KY,Clay,43.2,21051,0.560338259
LA,Vernon,39.5,22115,0.605503798
KY,Estill,42.2,21065,0.496137232
LA,Webster,45.7,22119,0.843370318
KY,Meade,37.8,21163,0.34945485
LA,Claiborne,45.1,22027,0.515862763
KY,Muhlenberg,41.4,21177,0.590997159
LA,St. John the Baptist,43.8,22095,0.729137242
LA,Rapides,42.0,22079,0.785582602
LA,Beauregard,36.8,22011,0.527969182
KY,Laurel,41.1,21125,0.636859477
KY,Bell,44.2,21013,1.177301645
KY,Ohio,40.3,21183,0.543955803
KY,Larue,42.3,21123,0.623657405
KS,Pratt,38.7,20151,1.095650315
KY,Carter,42.9,21043,0.79119885
ME,Cumberland,29.4,23005,0.875512838
KY,Adair,37.3,21001,0.511378169
KY,Henry,40.6,21103,0.373436242
ME,Androscoggin,36.4,23001,0.819921315
KY,Trigg,40.3,21221,0.541418493
KY,Oldham,34.2,21185,0.402991086
KY,Campbell,35.5,21037,0.79770261
KY,Grayson,42.2,21085,0.717522681
LA,Lafourche,42.7,22057,0.614779294
KS,Saline,37.9,20169,1.001372218
LA,Assumption,41.2,22007,0.323759317
KY,Caldwell,38.0,21033,0.788208425
KY,Floyd,39.9,21071,0.857780039
KY,Anderson,38.1,21005,0.700740159
LA,Franklin,45.1,22041,0.709831178
KY,Boyd,40.8,21019,1.440364599
KS,Reno,38.0,20155,0.776787043
KY,Pulaski,39.3,21199,0.656188011
KY,Kenton,34.7,21117,0.607327223
KY,Clinton,39.6,21053,0.890207708
KY,Marion,41.1,21155,0.673086882
KS,Neosho,42.8,20133,0.439450055
KY,Knox,40.6,21121,0.805879712
KY,Nelson,34.4,21179,0.581270158
KY,Fulton,45.4,21075,0.672043025
KY,Henderson,40.3,21101,0.737595022
KY,Rockcastle,40.5,21203,0.597014904
LA,St. Bernard,44.1,22087,0.713581145
KY,Boyle,38.0,21021,0.922053516
KY,Lincoln,40.2,21137,0.367857426
LA,Jefferson Davis,42.3,22053,0.640861332
LA,Calcasieu,43.0,22019,0.895184696
KS,Sherman,40.5,20181,1.384801745
KY,Hancock,38.4,21091,0.343170911
KY,Pike,41.2,21195,1.034053683
KY,Fleming,41.0,21069,0.205437243
KS,Pottawatomie,31.2,20149,0.606747031
LA,Natchitoches,45.0,22069,0.610808671
MI,Osceola,38.7,26133,0.383533627
MI,Benzie,35.0,26019,0.672193587
MN,Carver,33.1,27019,0.553652704
MI,Mackinac,38.1,26097,1.383891463
MI,Iron,37.1,26071,0.72293514
MN,Meeker,41.1,27093,0.385587603
MN,Hubbard,40.0,27057,0.367258877
MD,Talbot,31.7,24041,0.946662366
MI,Chippewa,39.3,26033,0.541154802
MD,Carroll,31.5,24013,0.739242554
MI,Oakland,29.7,26125,0.853637815
MI,Wayne,36.7,26163,0.785350978
MI,Emmet,31.4,26047,0.899766088
MI,Kalkaska,35.7,26079,0.499916673
MI,Allegan,31.6,26005,0.554962277
MN,Winona,34.8,27169,0.732890964
MN,Pine,38.9,27115,0.476855487
MN,Renville,38.4,27129,0.347149909
MN,Swift,39.7,27151,0.653879702
MI,Houghton,34.2,26061,0.59784776
MD,Wicomico,36.7,24045,0.894316733
MN,St. Louis,36.7,27137,0.679970562
MN,Le Sueur,38.7,27079,0.173967496
ME,Washington,37.7,23029,0.413052469
MN,Stearns,38.4,27145,0.703538656
MA,Franklin,25.8,25011,0.455405802
MI,Washtenaw,30.1,26161,0.799513221
MI,Macomb,36.7,26099,0.798124909
MN,Yellow Medicine,39.6,27173,0.626304805
MN,Brown,39.9,27015,0.684214771
MD,Worcester,36.2,24047,1.717458963
MN,Morrison,39.8,27097,0.662910163
MN,Big Stone,42.6,27011,0.812512696
MI,Montmorency,38.0,26119,0.321302354
MN,Roseau,33.3,27135,0.19845207
MI,Gladwin,38.1,26051,0.511327863
MD,Montgomery,24.2,24031,0.783406973
MS,Attala,44.4,28007,0.722061753
MI,Barry,33.8,26015,0.354489923
MN,Lyon,45.5,27083,0.910134137
MN,Cook,34.8,27031,0.923020124
MN,Aitkin,36.2,27001,0.567894995
MD,Calvert,33.9,24009,0.719872773
MA,Worcester,32.7,25027,0.691017509
MI,Alcona,36.6,26001,0.475963831
MI,Monroe,38.0,26115,0.670793235
MI,Marquette,32.0,26103,0.729106545
MI,Ionia,38.7,26067,0.43375212
MN,Rice,35.0,27131,0.536640644
MN,Goodhue,36.4,27049,0.647696376
ME,Sagadahoc,30.7,23023,0.665852845
MI,Kent,33.5,26081,0.768170416
MA,Hampden,35.9,25013,0.605621696
MD,Prince George's,36.0,24033,0.930066884
MN,Benton,37.2,27009,0.561550856
MD,Harford,34.8,24025,0.661980867
MI,Isabella,38.5,26073,0.633057117
MN,Sherburne,37.7,27141,0.425053895
MA,Norfolk,27.0,25021,0.69917351
MI,Clinton,35.9,26037,0.589319527
MN,Kanabec,37.8,27065,0.243664712
MI,Iosco,38.2,26069,0.636435986
MI,Eaton,34.9,26045,0.808003783
MI,Van Buren,39.5,26159,0.62273103
MI,Mecosta,33.4,26107,0.501059055
MN,Scott,33.6,27139,0.557439506
MN,Kandiyohi,36.6,27067,0.626014352
MN,Redwood,39.0,27127,0.397904366
MI,Alpena,38.7,26007,0.672852159
MA,Middlesex,22.1,25017,0.814599931
MN,Chippewa,41.6,27023,0.595339358
MI,Montcalm,39.2,26117,0.378095657
MI,Muskegon,43.0,26121,0.695870221
MI,Otsego,34.4,26137,0.767211795
MD,Cecil,37.6,24015,0.609172404
MI,Alger,34.7,26003,0.998336077
MN,Hennepin,27.4,27053,0.824655771
MN,Rock,37.8,27133,0.645091951
MD,Kent,38.9,24029,0.729470611
MN,Polk,38.8,27119,0.485436887
MN,Beltrami,41.1,27007,0.590194345
MN,Koochiching,36.9,27071,0.580479324
MI,Midland,31.1,26111,0.707086444
MS,Alcorn,42.4,28003,0.840358913
MN,Douglas,38.6,27041,0.626174092
MA,Plymouth,30.2,25023,0.612901866
MI,Oceana,37.9,26127,0.335582972
MD,Dorchester,41.8,24019,0.753461242
MI,Huron,38.8,26063,0.717711151
MD,Caroline,38.6,24011,0.507583916
MN,Lake,34.7,27075,0.751950383
MI,Hillsdale,36.8,26059,0.481843263
MI,Ogemaw,38.3,26129,0.621325791
MN,Becker,39.3,27005,0.522405386
MI,Shiawassee,36.1,26155,0.664324284
MN,Itasca,34.6,27061,0.309269249
MI,Grand Traverse,30.8,26055,1.047098041
MI,Kalamazoo,35.7,26077,0.785749733
MN,Anoka,35.9,27003,0.59735328
MN,Blue Earth,42.1,27013,0.908544719
MI,Delta,35.6,26041,0.702010572
MI,Presque Isle,35.9,26141,0.315831035
MI,Luce,39.0,26095,0.489715964
MI,Roscommon,35.4,26143,0.667055786
MN,Crow Wing,38.6,27035,0.639814734
MN,Pennington,30.5,27113,0.288309067
MN,Dodge,37.6,27039,0.333539814
MI,Arenac,38.3,26011,0.869390786
MA,Essex,30.8,25009,0.750698566
MA,Bristol,33.0,25005,0.686351478
MD,Charles,42.9,24017,0.778418362
MI,Antrim,34.8,26009,0.639686108
MI,Gratiot,35.6,26057,0.595784843
MN,Cass,38.1,27021,0.334135264
MS,Adams,43.6,28001,0.891824961
MS,Amite,45.0,28005,0.245800897
MN,Chisago,38.3,27025,0.457794845
MN,Cottonwood,39.3,27033,0.266856432
MN,Houston,38.4,27055,0.268355519
MI,St. Joseph,37.4,26149,0.542334974
MI,Menominee,37.3,26109,0.530785561
MD,Howard,26.9,24027,0.898842156
MN,McLeod,40.3,27085,0.644077301
MI,Dickinson,32.3,26043,0.716788769
MN,Clay,35.1,27027,0.602875233
MI,Schoolcraft,37.5,26153,0.863770962
MD,Allegany,37.3,24001,0.799349129
MI,St. Clair,40.8,26147,0.54616338
MI,Branch,39.6,26023,0.529661
ME,Lincoln,31.8,23015,0.718907237
ME,Penobscot,38.8,23019,0.586858332
MA,Nantucket,28.3,25019,1.58227849
MN,Wabasha,33.1,27157,0.41585806
MI,Jackson,39.7,26075,0.599031329
MI,Gogebic,37.3,26053,0.577951193
MD,St. Mary's,35.2,24037,0.758586407
MI,Ottawa,35.9,26139,0.576985061
MN,Pope,38.1,27121,0.354704261
MN,Watonwan,39.3,27165,0.463306159
MN,Fillmore,37.2,27045,0.61509347
MI,Newaygo,39.2,26123,0.52687037
MI,Baraga,38.3,26013,0.857422829
MN,Lac qui Parle,35.1,27073,0.459629238
MI,Leelanau,31.2,26089,0.689877212
MI,Tuscola,39.4,26157,0.4016141
MN,Martin,38.0,27091,0.718538284
MD,Garrett,37.3,24023,0.935810328
MD,Baltimore,33.2,24005,0.943079889
MI,Charlevoix,36.6,26029,0.881057262
MD,Frederick,31.2,24021,0.773115218
MN,Murray,40.5,27101,0.367872477
MA,Suffolk,28.0,25025,0.969333172
ME,Piscataquis,35.8,23021,0.29418686
MN,Stevens,37.9,27149,0.614439309
MN,Mahnomen,44.3,27087,0.548145413
MN,Wadena,42.9,27159,0.869124353
MD,Washington,42.3,24043,0.813782692
MI,Missaukee,38.3,26113,0.263991565
MI,Sanilac,38.5,26151,0.392666936
MN,Isanti,38.6,27059,0.362065226
ME,Knox,27.9,23013,0.826011837
ME,Waldo,33.5,23027,0.551060796
MN,Dakota,32.9,27037,0.660017073
MI,Genesee,39.1,26049,0.684298694
MN,Pipestone,39.5,27117,0.657822609
MI,Berrien,40.0,26021,0.738441408
MD,Anne Arundel,34.7,24003,0.943757236
MN,Nicollet,36.5,27103,0.754016578
MD,Somerset,43.6,24039,0.43216911
MI,Mason,39.4,26105,0.651488125
MA,Berkshire,28.9,25003,0.842892826
MA,Dukes,28.6,25007,0.973598301
MI,Wexford,38.2,26165,0.770530164
ME,Oxford,36.7,23017,0.464460194
ME,York,29.5,23031,0.827489913
MN,Otter Tail,38.2,27111,0.612859845
MI,Lenawee,42.4,26091,0.623670876
MN,Red Lake,36.8,27125,0.741473079
MN,Wright,37.2,27171,0.527633011
MI,Clare,42.3,26035,0.649962604
MI,Oscoda,36.9,26135,0.717017233
MN,Todd,40.5,27153,0.283034116
MN,Faribault,37.2,27043,0.441144019
MI,Cheboygan,36.8,26031,0.670214891
MN,Carlton,41.2,27017,0.251614541
MN,Ramsey,32.6,27123,0.74100709
MA,Hampshire,27.7,25015,0.625770569
MI,Calhoun,38.9,26025,0.763587356
MN,Mower,40.7,27099,0.49813199
MI,Crawford,38.2,26039,0.786782086
MI,Bay,37.2,26017,0.712981164
MI,Ingham,34.0,26065,0.901555002
MI,Manistee,38.0,26101,0.565930963
MN,Steele,36.9,27147,0.710460186
MD,Queen Anne's,32.7,24035,0.723122299
MI,Lapeer,35.5,26087,0.570548296
MD,Baltimore,38.5,24510,1.117497683
MN,Waseca,41.2,27161,0.646900296
MA,Barnstable,26.5,25001,0.989848197
MN,Washington,30.9,27163,0.59892422
MN,Nobles,40.7,27105,0.467289716
MN,Mille Lacs,42.6,27095,0.573701501
MI,Livingston,35.4,26093,0.597915113
MN,Sibley,40.7,27143,0.203873605
MI,Cass,35.1,26027,0.329559565
MN,Olmsted,35.4,27109,0.696807265
MN,Freeborn,40.6,27047,0.757475972
MI,Saginaw,43.0,26145,0.790022552
ME,Somerset,37.3,23025,0.513478816
MO,Miller,39.7,29131,0.465278596
MS,Lafayette,40.0,28071,1.029260397
MO,Livingston,38.6,29117,0.624436259
MO,Adair,42.0,29001,0.787432551
MO,Polk,42.0,29167,0.492459208
MS,Tunica,50.1,28143,0.958262324
MO,Osage,36.6,29151,0.369412631
MO,Caldwell,40.0,29025,0.331455082
MT,Hill,34.9,30041,0.855850339
MS,Humphreys,51.0,28053,0.383288622
MO,Ray,40.4,29177,0.349116296
MO,Benton,38.4,29015,0.356651545
MO,Greene,34.5,29077,0.986450732
MO,Gasconade,38.6,29073,0.617877245
MT,Gallatin,23.7,30031,0.924610019
MO,St. Francois,40.0,29187,0.812213302
MO,Carroll,38.9,29033,0.818330586
MO,Clay,35.2,29047,0.702272117
MO,St. Charles,36.1,29183,0.748392463
MS,Lincoln,42.9,28085,0.854549766
MO,Grundy,39.7,29079,0.729546666
MO,Boone,33.1,29019,0.81971246
MS,Newton,44.3,28101,0.575098217
MT,Beaverhead,31.3,30001,0.949066758
MS,George,40.4,28039,0.491299897
MT,Missoula,29.2,30063,0.822165608
MS,Scott,45.8,28123,0.712732971
MS,Tate,40.4,28137,0.700795412
MO,Cooper,41.1,29053,0.701672316
MS,Clarke,44.7,28023,0.392182499
MO,Franklin,38.8,29071,0.689199686
MO,Carter,40.0,29035,0.667668164
MO,Macon,36.9,29121,0.529976785
MT,Dawson,35.7,30021,0.584453523
MO,Warren,37.6,29219,0.519210815
MO,Henry,40.1,29083,0.724768996
MS,Webster,39.8,28155,0.413393974
MO,Dunklin,43.1,29069,0.657940328
MS,Sunflower,47.5,28133,0.606305599
MO,Texas,41.3,29215,0.398215979
MO,Pulaski,35.4,29169,0.474302292
MO,New Madrid,41.7,29143,0.838674903
MO,Platte,39.5,29165,0.563211083
MO,Lincoln,41.3,29113,0.349307209
MS,Panola,46.0,28107,0.561333001
MS,Pontotoc,43.4,28115,0.585317791
MS,Yazoo,45.4,28163,0.481802672
MO,Bates,38.3,29013,0.738825262
MO,Nodaway,42.3,29147,0.597893596
MS,Prentiss,40.4,28117,0.79958421
MT,Carbon,29.0,30009,0.54940021
MO,Cedar,42.0,29039,0.768049181
MO,Marion,36.1,29127,0.879569352
MS,Calhoun,41.9,28013,0.351098925
MS,Chickasaw,47.3,28017,0.471948564
MO,Ste. Genevieve,36.7,29186,0.446328938
MO,Buchanan,40.1,29021,0.843638062
MO,Moniteau,39.8,29135,0.449149817
MO,Mississippi,44.5,29133,0.630367994
MO,Gentry,37.6,29075,0.616903126
MT,Deer Lodge,32.9,30023,0.543242097
MS,Lamar,39.5,28073,1.013013363
MS,Smith,42.0,28129,0.253501475
MO,Daviess,37.4,29061,0.362187624
MO,Howell,40.5,29091,0.819631398
MS,Grenada,45.0,28043,1.115963101
MS,Winston,45.3,28159,0.896609724
MS,Jefferson Davis,43.8,28065,0.367309451
MS,Holmes,53.0,28051,0.298935801
MT,Cascade,35.6,30013,0.934280753
MO,Madison,38.0,29123,0.660447478
MS,Jackson,38.4,28059,0.6397686
MO,Jackson,38.8,29095,0.719623208
MO,Dent,38.9,29065,0.581357777
MS,Itawamba,37.8,28057,0.515884936
MS,Noxubee,47.0,28103,0.488472074
MT,Flathead,30.2,30029,0.614070714
MO,Harrison,42.5,29081,0.96142292
MO,Butler,41.2,29023,0.806107461
MO,St. Louis,33.4,29189,0.860143661
MO,Scott,43.4,29201,0.600710392
MS,Claiborne,51.2,28021,0.336662561
MO,Montgomery,41.2,29139,0.619798124
MS,Rankin,36.3,28121,1.032216668
MO,Ripley,42.8,29181,0.60150373
MT,Custer,35.8,30017,0.885582685
MO,Barry,38.4,29009,0.474621713
MO,Callaway,41.7,29027,0.490119636
MO,Cape Girardeau,40.7,29031,1.056444287
